Region,Country,Business Unit,SP Outcome,SP Output,Thematic Area Category,Thematic Area,Content Area,Result Type,Narrative,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,3,10,Sexual reproductive health,Family planning,Programming,Faith and Culture,Security is the main challenge for conducting training for religious leaders and community elders because in some of the provinces these two groups are the target of anti-government elements,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,3,10,Sexual reproductive health,Family planning,Lessons Learned,Faith and Culture,"Mobilizing social structures (Women civil society, Youth associations and journalists and religious leaders) and family structures (especially men) given their socio-cultural influence on reproductive decisions are assets for increasing access and use of FP services in Afghanistan",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,3,11,GBV,GBV prevention and response in humanitarian settings,Programming,SSTC,UNFPA Gender Specialist supported the establishment of GBV humanitarian response in Iran,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,3,11,GBV,GBV prevention and response in humanitarian settings,Programming,Lessons learned,UNFPA Afghanistan�s modality of �one IP per province� to decrease the operational cost and increase intra-program harmonization caused compromised quality of GBV specialized services provision (especially FPCs) in certain provinces. The Gender Unit of the UNFPA Afghanistan has initiated the process of engaging with IPs having specialized in GBV preventions and response programs through a competitive process.,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,4,13,Population data,Tracking SDGs and the ICPD,Programming,Parliamentarians,UNFPA established the Parliamentary Forum on Population and Development as platform for policy and advocacy on key issues related to Population Dynamics. A briefing session about the Nairobi summit was conducted to the members of the lower house of the parliament. ,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,4,13,Population data,P&D in humanitarian,Programming,Parliamentarians,An MP was sponsored and supported to participate at the IPU-UN Regional conference in Malaysia,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,4,13,Population data,P&D in humanitarian,Partnership,SSTC,Discussions held with Iran & Sri-Lankan and Mahidol universities under South-South & Triangular Cooperation (SSTC) modality. Concept notes for partnership with regional universities to provide support on Statistics and Demography to Kabul University was developed and shared with relevant universities; A visit of three KU officials from Mahidol University resulted in signing of partnership MoU between Mahidol and Kabul University; and as part of south to south collaboration two lectures of KU have been sent for a PhD programme to Mahidol university in Bangkok.,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,4,13,Population data,P&D in humanitarian,Resource Mobilization,Difficult challenges,"A downward trend in UNFPA's Regular Resource for the 4 consecutive years have severely affected our intended plans and results, as we had to postpone/cancel a number of very important advocacy efforts due to budgetary constraints, e.g. provincial missions as part of our advocacy efforts, public dialogue on PD issues, publicity campaign, etc. Another challenge is the lack of donors� interest around population and development issues. For instance, a number of concept notes were developed and shared with potential donors such as DFID, WB, EU, and Korea, with no luck from any.",,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,4,13,Population data,P&D in humanitarian,Partnership,Lessons learned,Long-term and strategic partnership with Kabul University in the areas of population and demographic studies will provide long-term human resources for generating and utilizing data for development.,,,,,,,,,,,,,,,,,,
AP,Afghanistan,60100,4,13,Population data,P&D in humanitarian,Programming,Lessons learned,Detailed orientation for the stakeholders and government counterparts found to be effective to mobilize political support and buy-in for the data produced through Remote Sensing and modeling.,,,,,,,,,,,,,,,,,,
AP,Bhutan,60600,ALL,ALL,OEE,OEE,Partnership,Difficult challenges,Implementing of joint monitoring.,,,,,,,,,,,,,,,,,,
AP,Bhutan,60600,ALL,ALL,OEE,OEE,Programming,Lessons learned,Added value of engagement of young people and sub implementing partners during review and planning.,,,,,,,,,,,,,,,,,,
AP,Bhutan,60600,ALL,ALL,OEE,OEE,Programming,Lessons learned,Capacity development of service providers needs to expand beyond focal persons.,,,,,,,,,,,,,,,,,,
AP,Bhutan,60600,ALL,ALL,OEE,OEE,Programming,Difficult challenges,"Monitoring of activities at the community level, e.g., implementation of LSE in monasteries and community advocates.",,,,,,,,,,,,,,,,,,
AP,Bhutan,60600,ALL,ALL,OEE,OEE,Programming,Difficult challenges,"Restrictive implementation period specially in engaging young people, health workers and teachers",,,,,,,,,,,,,,,,,,
AP,Bhutan,60600,1,2,Sexual reproductive health,SRH,Resource Mobilization,Leaving No One Behind/Reaching the Last Mile,"Country office mobilized US$50,000/- to support the outreach screening (cervical cancer, breast cancer, pelvic organ prolapses screening and provision of family planning) camps in three districts. This will contribute to Bhutan�s commitment to eliminate cervical cancer by 2030 and ICPD@25 commitments.",,,,,,,,,,,,,,,,,,
AP,Bhutan,60600,3,9,GBV,GBV Response and Prevention,Programming,Difficult challenges,Implementation of Health sector response to GBV through Forensic unit.,,,,,,,,,,,,,,,,,,
AP,Bhutan,60600,3,11,GBV,GBV Response and Prevention,Programming,Lessons learned,Engagement of monks and nuns as advocates for GBV and SRHR issues are crucial.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,ALL,ALL,OEE,OEE,Partnership,Difficult challenges,The varying capacities of Implementing Partners (IPs) and their willingness to accept support from UNFPA in the management of programmes or to comply with UNFPA�s reporting requirements has been a challenge,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,OEE,OEE,OEE,OEE,Lessons Learned,Lessons learned,It is important allocate adequate time and increase our advocacy efforts for approvals of policy and national level interventions to be obtained.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,OEE,OEE,Youth,Youth in humanitarian action and peace building,Programming,Difficult challenges,Responsibilities of the adolescents and youth unit has increased significantly without a corresponding increase in staff strength,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,OEE,OEE,OEE,OEE,Partnership,Lessons learned,"Selection of Implementing Partners, especially those who will be using a reimbursement modality, needs to take into consideration the extra time and effort that is required to manage them.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,OEE,OEE,OEE,OEE,Programming,Lessons learned,Closer monitoring of programme support staff is needed to ensure effective programme and budget implementation. This is especially important when programme staff responsible for specific projects do not have access to the GPS which will allow them to monitor and/or review quarterly reports to ensure quality.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,OEE,OEE,OEE,OEE,Programming,Difficult challenges,UNFPA�s annual priorities do not always align with the activities according to the approved TAPP which is a static document for government IPs.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,1,Sexual reproductive health,SRH,Programming,Difficult challenges,A major challenge is to establish syphilis screening for all pregnant women during antenatal care at district hospitals and upazilas due to a number of reasons including lack of accountability or motivation from local service providers or health managers or unavailability of materials.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,1,Sexual reproductive health,Obstetric fistula,Partnership,Lessons learned,"The divisional approach to eliminate obstetric fistula has been found to be effective in building community awareness, which has resulted in more fistula cases being identified by the health system and referred to treatment.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,1,Sexual reproductive health,SRH,Programming,Best Practices,"In 2019, the total number of deliveries increased in 173 health facilities where midwives were deployed. Observational research found significant increases in provision of the WHO guided respectful maternity care such as separate ANC corners, use of ANC card, skin to skin contact after delivery, upright position for delivery, and delayed cord clamping where midwives were deployed in comparison to where they were not deployed. In addition midwives are now providing comprehensive SRHR services, including over 700 PAC/MR services and over 15,000 FP services.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,1,Sexual reproductive health,EmONC,Partnership,Best Practices,"The Maternal Health Protection Bill, drafted by the sub-committee �Improving Maternal Health, Ensuring Safe Delivery and Family Planning� of BAPPD in collaboration with UNFPA, was handed over to the Minister of the Ministry of Health and Family Welfare (MoHFW). The Health Minister directed the health ministry Secretary to examine and process the Bill. The Bill will contribute to reducing maternal mortality and morbidity in the country by ensuring emergency medical services, notifying maternal death accurately and ensuring the accountability of service providers and family members",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,1,Sexual reproductive health,MPDSR,Lessons Learned,Lessons learned,MPDSR has been found to be an evidence- based tool which has subsequently proven useful in advocacy efforts to support the development of �The Maternal Health Protection Act� in Bangladesh.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,1,Sexual reproductive health,SRH,Programming,Difficult challenges,"Currently, about 40% service provider�s positions are vacant in the family planning department which hamper the service delivery provision at sub-district and union level facilities; worst in hard to reach areas.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,2,Sexual reproductive health,Obstetric fistula,Programming,Lessons learned,Rehabilitation and reintegration using other government ministries have been identified as an excellent opportunity to strengthen support for fistula survivors in the coming future.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,3,Sexual reproductive health,SRH,Programming,Difficult challenges,"The licensing examination for the 4th batch of midwives has been delayed as a result of a lawsuit brought against the Bangladesh Nursing and Midwifery council. Extensive advocacy is ongoing but to date this problem is not resolved. This delay impacts the future deployment of midwives, this will be a particular problem in the humanitarian settings where midwives are heavily relied on to provide SRH services and when the current batch deploys with the government- the country will have no more licensed midwives until the exam is held.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,3,Sexual reproductive health,SRH,Programming,Difficult challenges,"Pre-service education faces challenges of faculty availability, capacity, and motivation to fully implement the midwifery curriculum. This year ... many education programs lost their strongest faculty and programs for improvement were constrained by inadequate faculty numbers and expertise.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,3,Sexual reproductive health,SRH,Programming,Innovation,"The Bangladesh midwifery society has with UNFPA support created an online continuing education platform that will be linked to licensing. Forty-eight free online courses are now available. As a result, 800 midwives have enrolled in the courses and 554 have completed them.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,1,3,Sexual reproductive health,SRH,Programming,Lessons learned,Training has minimal impact on implementation however mentorship does have a positive impact on the implementation of evidence based comprehensive SRH services,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,2,6,Youth,In school CSE,Programming,Innovation,"During the reporting period, the two episodes of the Shanana cartoon and the Dosh Unisher Mor radio programme wee disseminated, which covers topics of gender diversity and sexual reproductive health targeting youth and adolescents, to all secondary schools and madrasahs in Bangladesh.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,3,9,Sexual reproductive health,SRH,Programming,Difficult challenges,There is an issue of reluctance to change the status quo within the existing programme structure such as updating GBV platform in DHIS2 for GBV service data which makes availability of data a challenge.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,3,9,GBV,GBV Response and Prevention,Programming,Lessons learned,MoWCA developed a plan to implement the recommendations relating to GBV and SRHR related issues which were received from the Universal Periodic Review (UPR),,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,3,9,GBV,GBV Response and Prevention,Programming,Lessons learned,A national level guideline/standard operating procedure for referral systems in development  settings UNFPA is taking initiative to develop this guideline involving GO-NGO stakeholders. ,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,3,9,Harmful practices,Child marriage,Partnership,Parliamentarians,The Parliamentary Standing Committee on the Ministry of Women and Children Affairs (MoWCA) provided three specific recommendations to MoWCA. These include; - 1) Mandatory 12-grade education to stop child marriage; 2) Creation of the provision of a student counsellor in all schools and colleges; and 3) Organisation of a session on the harmful consequences on child marriage on a weekly basis in school and colleges. MoWCA have committed to work with the Ministry of Education (MoE) on the implementation of these important recommendations.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,3,11,GBV,GBV Response and Prevention,Programming,Difficult challenges,"Changing underlying social norms and values which promote harmful practices such as sexual harassment, gender based violence and child marriage require time and sustained interventions. Such interventions often do not show quantifiable and concrete results in a short-time period. It is therefore often a challenge to showcase behavioural changes during a period of five years.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,3,11,GBV,GBV Response and Prevention,Programming,Difficult challenges,Bangladesh followed the UNFPA's global Clinical Management of Rape module. Contextualization of this global module including translation in Bangla was a huge challenge for UNFPA as appropriate Bangla words were difficult to identify and the technical agency lacked experience working on these sensitive issues.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,3,11,GBV,GBV Response and Prevention,Programming,Difficult challenges,"Due to non-availability of some essential services such as alternative accommodation in sub district levels (Upazilas and Unions) for survivors, the cost for referral services has increased and thereby it has been a challenge to establish and functionalize the referral mechanism fully following GBV guiding principles.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,3,11,GBV,GBV Response and Prevention,Programming,Lessons learned,GBV response in Cox�s Bazaar Rohingya crisis offers valuable lessons and good practices for a sub national cluster coordination,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,3,12,Harmful practices,Son Preference,Programming,Difficult challenges,Challenges remain in exploring the extent of Gender Based Sex Selection due to the limited availability of data sets. This lack of data and information has contributed to the perception that GBSS does not exist in Bangladesh which has consequently created barriers to discussions on GBSS/Son preference.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,4,13,Population data,Population data: other,Partnership,Best Practices,Prepared four geo-databases to generate a small area digital atlas ,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,4,13,Sexual reproductive health,SRH,Programming,Difficult challenges,"The Directorate General of FP introduced the DHIS2 reporting platform to produce quality data, which is expanding gradually in many districts, but data entry in both open access software & DHIS2 platform is reported to be a significant amount of work for data entry operators. In addition, server upgrading is a huge challenge for data storage at the family planning department due to a lack of availability of adequate Govt. resources.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,4,14,Population data,Population data: other,Partnership,Best Practices,Conducted a Population Situation Analysis (PSA) in partnership with the Department of Population Sciences of Dhaka University. This has supported the the UN inter-agency process of the Common Country Analysis (CCA) to ensure that Sexual Reproductive Health (SRH) and Population Dynamics are integrated into the priorities of the upcoming UNSDCF.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,4,14,Population data,Population data: other,Partnership,Parliamentarians,"Bangladesh Association of Parliamentarians on Population and Development (BAPPD) developed a three-year advocacy plan in 2019. The priority policy advocacy issues included in this plan are - i) Improving maternal health, Ensuring safe delivery and family planning (FP), ii) Eliminating child marriage and preventing GBV, and iii) Population dynamics and youth development. This plan will provide the required guidance to support  the three sub-committees of BAPPD to  advocate to  the Parliamentary Standing Committees and concerned ministries to increase the required budgets for the aforesaid issues and to enact laws/policies to  achieve the SDGs and ICPD PoA.",,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,4,14,Population data,Tracking SDGs and the ICPD,Partnership,Best Practices,45 senior government officials and SDG focal persons of different ministries were capacitated to measure and report on the 16 SDG indicators under UNFPA commitment.,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,4,14,Population data,Demographic intelligence,Partnership,Best Practices,22 government officials from different ministries and divisions completed a certificate course on the demographic dividend in Bangladesh from the Population Sciences Department of the University of Dhaka supported by UNFPA,,,,,,,,,,,,,,,,,,
AP,Bangladesh,60500,4,14,Population data,Population data: other,Partnership,Lessons learned,Policy dialogues and interactive orientation sessions created a common platform to bring and improve conceptual clarity on P&D issues for mainstreaming and policy advocacy.,,,,,,,,,,,,,,,,,,
AP,Cambodia,60700,ALL,ALL,Sexual reproductive health,SRH,Programming,Difficult challenges,"Significant number of government staff, including those serving in the health sector and women's affairs, is reaching retirement age. The health sector is seeking to address this issue through the implementation of a succession plan as part of the health workforce development plan. However, progress is not yet at the desired pace posing a serious challenge to sustaining the capacity of the health sector.",,,,,,,,,,,,,,,,,,
AP,Cambodia,60700,1,3,Sexual reproductive health,EmONC,Programming,Best Practices,"On the job coaching as a follow up (post-training activities), was regularly provided by the National Maternal and Child Health Centre (NMCHC) of the Ministry of Health. A number of field monitoring visits were conducted to the target health facilities, and the trained health providers were perceived to have more confidence and ability to address at least one of the four signal functions, especially at the BEmONC health facilities.",,,,,,,,,,,,,,,,,,
AP,Cambodia,60700,1,3,Sexual reproductive health,SRH,Programming,Lessons learned,A number of medical doctors and midwives who were trained in the areas of life-saving EmONC skills and VAW have left their health facilities due to different reasons. UNFPA will continue to advocate with the Ministry of Health to consider a more institutionalized approach to training and capacity building instead of ad hoc individual focused training. This includes advocating for the integration of EmONC and VAW in regular in-service and pre-service training of health workers.,,,,,,,,,,,,,,,,,,
AP,Cambodia,60700,1,3,Sexual reproductive health,EmONC,Programming,Lessons learned,EmONC training and coaching were provided to EmONC health facilities both at BEmONC and CEmONC levels to continue building confidence and skills in performance life-saving interventions for women and newborns. Similar arrangements are also required for VAW and AYFHS.,,,,,,,,,,,,,,,,,,
AP,Cambodia,60700,1,3,Sexual reproductive health,EmONC,Programming,Lessons learned,"Some BEmONC health facilities reported that they have received are obstetric complications, thus health providers who were trained in EmONC skills from such facilities had a slim to no chance of practicing their new knowledge and skills gained at training programs on a few signal functions of the EmONC skills set. UNFPA continued to advocacy the Ministry of Health to allow some selected health providers from the above-mentioned facilities to the provincial hospitals (CEmONC facilities) for a ten-day hands-on practice on real cases. This initiative approach facilitates the retention of knowledge, confidence, and enhancement of the life-saving skills of health workers.",,,,,,,,,,,,,,,,,,
AP,Cambodia,60700,1,4,Sexual reproductive health,Family planning,Programming,Leaving No One Behind/Reaching the Last Mile,"UNFPA continued to provide technical support to the Ministry of Health to distribute contraceptives among women, men and couples living in remote locations through the Family Planning Community Based Distribution (CBD) agents. Using local volunteers, the CBD was established and trained by the Ministry of Health, with UNFPA�s support in the previous years in priority locations, to assist health centers to reach out to the most hard-to-reach locations and provide family planning counseling, referrals, and distribution of short-term contraceptives.",,,,,,,,,,,,,,,,,,
AP,Cambodia,60700,2,7,Sexual reproductive health,Condom programming,Programming,Innovation,"In partnership with a well-established team of creative youth singers, UNFPA created a popular song on SRHR and condoms and used social media to communicate messages to adolescents and youth in Cambodia ",,,,,,,,,,,,,,,,,,
AP,Cambodia,60700,3,11,GBV,GBV Response and Prevention,Programming,Leaving No One Behind/Reaching the Last Mile,"Among three levels of health facilities, health centers are the lowest level as they are typically the first line of contact given its proximity to communities, this is the most appropriate level of facility (than referral hospitals which are at district and provincial levels) to reach the most vulnerable and remote locations, particularly for AYFHS and as the front line for VAW.",,,,,,,,,,,,,,,,,,
AP,Cambodia,60700,4,13,Population data,Population data: other,Partnership,Best Practices,"Regular meetings of the Data for Development (D4D) Sub-working group, co-chaired by the Ministry of Planning and UNFPA, ensures more effective coordination and support to the government National Institute of Statistics (NIS) and the National Statistical System (NSS) ",,,,,,,,,,,,,,,,,,
AP,Cambodia,60700,4,14,Population data,Population data: other,Programming,Difficult challenges,"There remains a gap in human capacity for data, thus a long-term strategy for investment in the development of human capital for effective production and use of population data including eco- statistical system is an urgent priority.",,,,,,,,,,,,,,,,,,
AP,China,60800,ALL,ALL,OEE,OEE,Programming,Difficult challenges,"Very limited resources to support even essential programme activities. The entire budget allocated was only enough to cover the conduct of one or two activities (roughly one activity per counterpart), leaving at stake other key activities planned in line with CPAP and requested by counterparts.",,,,,,,,,,,,,,,,,,
AP,China,60800,1,1,Population data,Tracking SDGs and the ICPD,Partnership,Extraordinary results,Vice Minister of the National Health Commission delivered China�s Commitments to fulfill the POA of the ICPD at the Nairobi Summit by integrating the implementation of the Program of Action with achieving the Sustainable Development Goals on the 2030 Agenda.,,,,,,,,,,,,,,,,,,
AP,China,60800,1,1,Sexual reproductive health,SRH integration,Programming,Lessons learned,"The merger of health system and family planning system has provided an opportunity to advocate an integrated SRH approach, which at the same time could serve as a basis to ensure meeting needs of underserved vulnerable populations as well as the general population.",,,,,,,,,,,,,,,,,,
AP,China,60800,1,1,Sexual reproductive health,SRH,Resource Mobilization,Leaving No One Behind/Reaching the Last Mile,"The new CO partnership with the Rehabilitation International (RI Global) and China Disabled Persons Federation (CPDF) was successfully established, which mobilized 100,000 USD to work on improving SRH for women and young people with disabilities.",,,,,,,,,,,,,,,,,,
AP,China,60800,1,1,Population data,Population policies,Programming,Difficult challenges,Lack of clear corporate HQ/APRO strategy on low fertility/ageing. The issue has been listed by the Government as a top priority to work with UNFPA in the field of population and development in the coming five years,,,,,,,,,,,,,,,,,,
AP,China,60800,1,2,Sexual reproductive health,Family planning,Partnership,Difficult challenges,"After the merge of family planning system and health system, it has been observed that family planning counseling services have been weakened in some places. It is important to advocate quality family planning services including counseling into maternal health services at all levels.",,,,,,,,,,,,,,,,,,
AP,China,60800,1,2,Sexual reproductive health,SRH,Partnership,Lessons learned,"In addition to the implementing partners, UNFPA China needs to expand technical networks and partnerships with SRHR related institutions in China to better leverage local capacity for programme delivery and to foster support for UNFPA�s mandate.",,,,,,,,,,,,,,,,,,
AP,China,60800,2,6,Youth,In school CSE,Programming,Innovation,UNFPA China and Marie Stopes� joint project on promoting CSE via live streaming CSE has been selected by the HQ innovation secretariat as the winner of the Global Innovation Challenge,,,,,,,,,,,,,,,,,,
AP,China,60800,3,9,Harmful practices,Son Preference,Programming,Extraordinary results,"On behalf of the Government of China, Mr. Liu Yang from Population Monitoring and Family Development Department of National Health Commission shared China�s good practices to addressing son preference and GBSS at the High-level Forum on Son Preference and the Undervaluing of Girls on Oct. 8-9, 2019 in Istanbul of Turkey, where he committed to further strengthen efforts to address the GBSS issue.",,,,,,,,,,,,,,,,,,
AP,China,60800,3,9,GBV,GBV Response and Prevention,Programming,Difficult challenges,"Due to absence of designated institutions for GBV data collection and lack of a coordination mechanism among stakeholders, data collection on GBV prevalence and on essential services provided to women and girls, has been a challenge. It is also an obstacle for effective planning and implementation of interventions and advocacy.",,,,,,,,,,,,,,,,,,
AP,China,60800,3,10,GBV,Gender and legislation,Partnership,One UN/Coordination/Joint Programming,UNFPA China leadership on gender in the UNCT was strengthened. UNFPA China co-chaired the UN Theme Group on Gender (UNTGG) together with UN Women in 2019 and has actively taken the co-leadership role and made contributions to the UNTGG initiatives in 2019.,,,,,,,,,,,,,,,,,,
AP,China,60800,4,14,Population data,Tracking SDGs and the ICPD,Programming,Extraordinary results," The Government counterpart has printed both the PSA and ICPD review report in Chinese and English, which will be linked with the next five-year relevant national population and development planning to start in 2020.  ",,,,,,,,,,,,,,,,,,
AP,China,60800,4,14,Population data,Demographic intelligence,Partnership,SSTC,Strengthened SSC mechanism on population and development for building stronger national capacity of other developing countries for population data analysis and utilization and for better understanding the Chinese experiences of demographic dividend.,,,,,,,,,,,,,,,,,,
AP,Cook Islands,6XXXX,1,4,Sexual reproductive health,Family planning,Programming,Difficult challenges,Limited capacity for quantification of supplies and needs assessments; limited LMIS functionality,,,,,,,,,,,,,,,,,,
AP,Cook Islands,6XXXX,1,4,Sexual reproductive health,Family planning,Programming,Lessons learned,Intensified advocacy to countries is required to ensure MoH staff are adequately informed on policy issues,,,,,,,,,,,,,,,,,,
AP,Dem Rep Korea,61100,OEE,OEE,OEE,OEE,Resource Mobilization,Lessons learned,Over reliance on one donor country for fund-mobilization was not a correct approach; It was too late when other donors came forward to support the census and hence the correct apporach in future is to widen the resource-mobilization target donors.,,,,,,,,,,,,,,,,,,
AP,Dem Rep Korea,61100,1,4,Sexual reproductive health,SRH,Programming,Difficult challenges,"Procurement delays were experienced on sanctioned and unsanctioned items. Waivers for sanctioned items took a long time and in regard to unsanctioned items, vendors are backing off to supply to DPRK.",,,,,,,,,,,,,,,,,,
AP,Dem Rep Korea,61100,4,13,Population data,Census,Resource Mobilization,Difficult challenges,"Resource mobilization under sanctions environment was a major challenge and the short fall for census could not be mobilized. Hence, the government decided to go ahead with census without UNFPA engagement",,,,,,,,,,,,,,,,,,
AP,Dem Rep Korea,61100,4,13,Population data,Census,Partnership,Difficult challenges,Government also decided to do a light census and all the recommendations as per the Principles & Recommendations for conducting census have not been adhered to,,,,,,,,,,,,,,,,,,
